start_date,start_time,end_date,end_time,start_freq,end_freq,Loc,NOAA,Imp,cme_date,cme_time,CPA,Width,Speed,Plots,is_halo,width_is_lower_bound
1999/06/23,05:50,06/23,07:10,12000,2000,SW90b,DIM,,06/23,06:06,264,154,450,PHTX,False,True
1999/06/23,07:07,06/23,07:14,14000,2000,N23E42,8596,M1.7,06/23,07:31,,360,1006,PHTX uncertain,True,False
1999/06/28,21:03,06/28,21:10,3500,1500,N22W44,8592,C3.5,06/28,21:30,336,184,903,PHTX,False,True
1999/06/29,19:20,06/29,19:55,14000,2000,S14E01,8603,M1.6,06/29,19:54,,360,560,PHTX,True,False
1999/07/05,03:10,07/05,04:05,2000,1000,SW90b,8603,C7.6,07/05,02:54,284,190,670,PHTX,False,False
1999/08/28,18:25,08/28,18:33,16000,12000,S26W14,8674,X1.1,08/28,18:26,120,245,462,PHTX,False,False
1999/09/03,03:00,09/03,04:10,2000,1000,S36W24,8679,C2.1,09/03,00:06,184,175,512,PHTX,False,False
1999/09/10,07:30,09/10,07:35,5500,2000,NW90b,DIM,,09/10,07:54,18,125,1467,PHTX,False,False
1999/10/14,09:10,10/14,10:00,14000,4000,N11E32,8731,X1.8,10/14,09:26,,360,1250,PHTX,True,False
1999/10/17,23:27,10/17,23:33,11500,10000,N03E38,DIM,,10/18,00:06,40,87,247,PHTX,False,False
1999/11/16,03:27,11/16,03:48,7000,4000,N17E38,8766,M3.8,11/16,03:06,81,98,636,PHTX,False,False
1999/11/16,05:17,11/16,05:34,14000,7000,N08W39,8759,M1.8,11/16,05:30,285,129,712,PHTX,False,False
2000/01/18,17:31,01/18,22:00,14000,500,S19E11,8831,M3.9,01/18,17:54,,360,739,PHTX,True,False
2000/01/28,20:20,01/28,20:24,2200,1100,S31W17,8841,C4.7,01/28,20:12,,360,1177,PHTX,True,False
2000/02/05,19:34,02/05,19:38,5800,2900,N26E52,8858,X1.2,02/05,19:54,60,76,632,PHTX,False,False
2000/02/08,09:05,02/11,02:20,12000,20,N25E26,8858,M1.3,02/08,09:30,,360,1079,PHTX,True,False
2000/02/10,01:55,02/10,02:00,14000,8000,N31E04,8858,C7.3,02/10,02:30,,360,944,PHTX,True,False
2000/02/12,03:55,02/12,09:20,4000,400,N26W23,8858,M1.7,02/12,04:31,,360,1107,PHTX,True,False
2000/02/17,20:42,02/18,22:12,14000,100,S29E07,8872,M1.3,02/17,21:30,,360,728,PHTX,True,False
2000/02/18,09:38,02/18,09:54,2000,1200,NW90b,DIM,C1.1,02/18,09:54,286,118,890,PHTX,False,False
2000/03/02,13:50,03/02,14:03,14000,6000,S20W58,8882,M6.5,03/02,13:54,235,76,835,PHTX,False,False
2000/03/07,16:24,03/07,16:48,14000,4500,S22E77,8906,M1.2,03/07,16:30,120,108,644,PHTX,False,False
2000/03/27,06:56,03/27,06:58,14000,10000,S00E90,8932,C2.3,03/27,07:31,129,90,487,PHTX,False,False
2000/04/04,15:45,04/04,16:00,14000,9000,N16W66,8933,C9.7,04/04,16:32,,360,1188,PHTX,True,False
2000/04/09,23:15,04/09,23:45,4500,1000,S14W01,8948,M3.1,04/10,00:30,,360,409,PHTX,True,False
2000/04/18,15:00,04/18,16:00,14000,6000,S44W26,EP,,04/18,14:54,195,105,668,PHTX,False,False
2000/05/04,11:10,05/04,13:00,6500,1000,S17W87,8970,M6.8,05/04,11:26,235,170,1404,PHTX,False,True
2000/05/05,16:35,05/05,17:30,14000,2500,S17W87,8970,M1.5,05/05,15:50,,360,1594,PHTX,True,False
2000/05/07,21:15,05/07,24:00,14000,500,W90b,DIM,,05/07,20:50,,360,1781,PHTX,True,False
2000/05/12,23:34,05/12,23:42,14000,7000,E90b,DIM,,05/12,23:26,,360,2604,PHTX,True,False
2000/05/15,16:47,05/16,14:00,4800,40,S24W67,8993,C7.8,05/15,16:26,257,165,1212,PHTX,False,True
2000/06/02,22:00,06/02,22:15,14000,8000,N16E60,9026,M7.6,06/02,21:30,69,104,547,PHTX,False,False
2000/06/06,15:20,06/08,09:00,14000,40,N20E18,9026,X2.3,06/06,15:54,,360,1119,PHTX,True,False
2000/06/10,17:15,06/10,18:45,10000,1000,N22W38,9026,M5.2,06/10,17:08,,360,1108,PHTX,True,False
2000/06/15,19:52,06/15,19:56,5000,2500,N20W65,9041,M1.8,06/15,20:06,298,116,1081,PHTX,False,False
2000/06/17,03:00,06/17,04:15,14000,1000,N22W72,9041,M3.5,06/17,03:28,298,133,857,PHTX,False,False
2000/06/23,14:40,06/23,15:05,14000,2000,N26W72,9042,M3.0,06/23,14:54,282,198,847,PHTX,False,True
2000/06/25,08:10,06/25,09:00,12000,2500,N16W55,9046,M1.9,06/25,07:54,262,165,1617,PHTX,False,False
2000/07/10,22:00,07/10,23:30,14000,1000,N18E49,9077,M5.7,07/10,21:50,67,289,1352,PHTX,False,True
2000/07/11,13:00,07/11,13:30,12000,1000,N18E27,9077,X1.0,07/11,13:27,,360,1078,PHTX,True,False
2000/07/12,20:05,07/12,20:35,6000,1000,N19W61,9070,M1.5,07/12,20:30,281,101,820,PHTX,False,False
2000/07/14,10:30,07/15,14:30,14000,80,N22W07,9077,X5.7,07/14,10:54,,360,1674,PHTX,True,False
2000/07/22,11:45,07/22,12:45,14000,2000,N14W56,9085,M3.7,07/22,11:54,259,229,1230,PHTX,False,True
2000/08/11,11:35,08/11,11:59,2800,2000,NW90b,DIM,,08/11,07:31,273,70,1071,PHTX uncertain,False,False
2000/09/12,12:00,09/13,12:20,14000,60,S19W06,EP,,09/12,11:54,,360,1550,PHTX,True,False
2000/09/12,18:15,09/12,19:00,2000,1000,NE90b,DIM,,09/12,17:30,,360,1053,PHTX,True,False
2000/09/16,04:30,09/16,10:30,14000,400,N14W07,9165,M5.9,09/16,05:18,,360,1215,PHTX,True,False
2000/09/19,08:45,09/19,10:20,12000,1500,N14W46,9165,M5.1,09/19,08:50,283,76,766,PHTX,False,False
2000/09/25,02:20,09/25,03:00,14000,1000,N09W18,9169,M1.8,09/25,02:50,,360,587,PHTX,True,False
2000/10/16,07:10,10/16,08:00,14000,1000,N03W90,9182,M2.5,10/16,07:27,,360,1336,PHTX,True,False
2000/10/25,09:30,10/25,24:00,10000,300,N09W63,9199,C4.0,10/25,08:26,,360,770,PHTX,True,False
2000/11/03,18:35,11/03,18:45,4000,2500,N02W02,9213,C3.2,11/03,18:26,,360,291,PHTX,True,False
2000/11/08,23:20,11/09,12:00,4000,200,N10W77,9213,M7.4,11/08,23:06,271,170,1738,PHTX,False,True
2000/11/09,16:15,11/11,04:00,10000,40,S11E10,9221,M1.0,,,,,,PHTX CME_not_measurable_due_to_the_Snow_Storm,False,False
2000/11/12,14:25,11/12,14:40,3000,2000,S14E05,9227,C4.4,11/12,14:50,257,50,581,PHTX,False,False
2000/11/23,08:16,11/23,08:35,14000,9000,S26W40,9238,C5.4,11/23,06:06,,360,492,PHTX,True,False
2000/11/23,21:00,11/23,21:06,3500,3000,S20E60,9239,C7.9,11/23,21:30,124,148,1198,PHTX,False,False
2000/11/24,05:10,11/24,15:00,14000,100,N20W05,9236,X2.0,11/24,05:30,,360,1289,PHTX,True,False
2000/11/24,15:25,11/24,22:00,14000,200,N22W07,9236,X2.3,11/24,15:30,,360,1245,PHTX,True,False
2000/11/24,22:24,11/24,22:36,4000,3000,N21W14,9236,X1.8,11/24,22:06,,360,1005,PHTX,True,False
2000/11/25,01:25,11/25,02:25,14000,3000,N07E50,9240,M8.2,11/25,01:31,,360,2519,PHTX,True,False
2000/11/25,19:00,11/25,19:35,6000,2000,N20W23,9236,X1.9,11/25,19:31,,360,671,PHTX,True,False
2000/11/25,19:55,11/25,20:25,13000,4000,N20W27,9236,,11/25,21:30,345,59,388,PHTX,False,False
2000/11/26,17:00,11/26,17:15,14000,7000,N18W38,9236,X4.0,11/26,17:06,,360,980,PHTX,True,False
2000/12/28,12:40,12/28,13:38,14000,1900,BACK,,,12/28,12:06,,360,930,PHTX,True,False
2001/01/20,19:12,01/20,19:16,14000,6000,S07E40,9313,M1.2,01/20,19:31,,360,839,PHTX,True,False
2001/01/20,21:30,01/20,24:00,14000,500,S07E46,9313,M7.7,01/20,21:30,,360,1507,PHTX,True,False
2001/01/26,12:06,01/26,14:20,14000,400,S23W57,9320,C1.6,01/26,12:06,276,176,928,PHTX,False,False
2001/01/28,15:45,01/28,17:00,14000,200,S04W59,9313,M1.5,01/28,15:54,,360,916,PHTX,True,False
2001/02/11,01:40,02/11,01:55,12000,5500,N24W57,9346,C6.5,02/11,01:31,,360,1183,PHTX,True,False
2001/03/10,04:18,03/10,04:32,14000,4000,N27W42,9368,M6.7,03/10,04:26,297,81,819,PHTX,False,False
